TIME;SENDER_ID;COUNTER;REQUEST_ID;RESULT;REQUEST_UUID;DESTINATION;PERIOD_TIMESCALE;PERIOD_VALUE;LIFETIME_TIME_SCALE;LIFETIME_VALUE;ACTION;SENSOR_ACTUATOR_TYPE;DATA_TYPE;SYNTHETIC_DATA;THRESHOLD_NUMBER;SENSOR_IF_THRESHOLD;THRESHOLD_TYPE;THRESHOLD_VALUE;SENSOR_TYPE_MORE_THRESHOLD;
Wed Jun 26 13:33:37 CEST 2013;8;60;4;100;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:37 CEST 2013;29;90;4;113;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:38 CEST 2013;8;61;4;99;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:38 CEST 2013;29;91;4;112;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:39 CEST 2013;8;62;4;100;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:39 CEST 2013;29;92;4;129;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:40 CEST 2013;8;63;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:40 CEST 2013;29;93;4;119;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:41 CEST 2013;8;64;4;105;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:41 CEST 2013;29;94;4;120;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:42 CEST 2013;29;95;4;119;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:42 CEST 2013;8;65;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:43 CEST 2013;8;66;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:43 CEST 2013;29;96;4;118;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:44 CEST 2013;29;97;4;119;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:44 CEST 2013;8;67;4;97;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:45 CEST 2013;8;68;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:45 CEST 2013;29;98;4;119;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:46 CEST 2013;29;99;4;118;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:46 CEST 2013;8;69;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:47 CEST 2013;29;100;4;118;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:47 CEST 2013;8;70;4;100;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:48 CEST 2013;29;101;4;117;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:48 CEST 2013;8;71;4;107;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:49 CEST 2013;8;72;4;101;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:49 CEST 2013;29;102;4;118;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:50 CEST 2013;29;103;4;119;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:50 CEST 2013;8;73;4;98;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
Wed Jun 26 13:33:51 CEST 2013;29;104;4;120;60ac01be-3cf3-48f4-91b1-d84d5c0a50fb;4;0;1;0;30;0;LIGHT;0;0;0;0;
